标题,楼盘,地址,户型,面积,楼层,年代,价格
蔡家爱琴海，轻轨洋房小区，精装三房拎包入住，配套齐全居家安静,隆鑫爱琴海(1期),北碚蔡家同华路78号,3室2厅1卫,93.6㎡,中层(共8层),2014年建造,14964元/㎡
一套简约风格的洋房，带露台，户型方正，通透，全屋地暖,珠江城(A区),巴南融汇龙汇路1488号,3室2厅1卫,99.6㎡,中层(共8层),2017年建造,15058元/㎡
总价146起 高新区精装三室两厅两卫洋房带地暖 方正采光好,佳兆业珑樾壹号,"沙坪坝曾家大学城南二路,近思贤路",3室2厅2卫,89㎡,高层(共7层),2019年建造,16405元/㎡
南北通透，洋房社区，石桥铺半山公馆旁精装洋房，小区环境好。,半山七号,九龙坡石桥铺经纬大道1099号,3室2厅2卫,94.8㎡,中层(共6层),2012年建造,16352元/㎡
金科10年城东区 满五 3室2厅 98平 155万 诚心出售,金科10年城东区,江北石马河盘溪路480号,3室2厅1卫,98.6㎡,低层(共10层),2011年建造,15721元/㎡
寻有缘人 南北通透 带露台 你值得拥有 业主急售,金科中央御院(一期),南岸茶园新区永宁路19号,3室2厅2卫,99㎡,中层(共6层),2017年建造,14950元/㎡
140万 鲁能领秀城四街区 86平 3室2厅2卫 诚心出售,鲁能领秀城四街区(洋墅区),南岸茶园新区吉庆路54号,3室2厅2卫,86㎡,中层(共8层),2016年建造,16280元/㎡
人民 上清寺正规3房，出行方便  采光好,中山三路172号小区,渝中上清寺中山三路172号,3室2厅1卫,81㎡,中层(共8层),2000年建造,18025元/㎡
高新区科学城 微电园轻轨站旁 品质洋房 南北朝向 住家安静,美的金科郡,"沙坪坝西永西双大道147号,学城大道130号",3室2厅1卫,86㎡,中层(共8层),2018年建造,16855元/㎡
朝南 满二 3室2厅 龙脊金山名都 电梯房 采光好 周边商圈,龙脊金山名都,渝北汽博中心金渝大道83号,3室2厅1卫,88.6㎡,中层(共11层),2007年建造,16598元/㎡
茶园洋房3室2厅 143万 99平 金科中央御院(一期) 清,金科中央御院(一期),南岸茶园新区永宁路19号,3室2厅2卫,99㎡,中层(共6层),2015年建造,14445元/㎡
低于市场价10万诚心售，天台岗小xue旁 南北通透采光好,中国铁建万国城68号,南岸茶园新区梨花大道570号,3室2厅2卫,97.4㎡,中层(共8层),2018年建造,14684元/㎡
精装修 隆鑫爱琴海(1期) 3室2厅 140万 电梯房 满二,隆鑫爱琴海(1期),北碚蔡家同华路78号,3室2厅1卫,93.6㎡,中层(共8层),2015年建造,14964元/㎡
电梯房 满二 3室2厅 80平 楼层好 视野无遮挡,国瑞爱与山(C区),大渡口双山山海路133号,3室2厅1卫,80.7㎡,中层(共8层),2014年建造,17349元/㎡
金科十年城 3室2厅 98平 155万 房东急售,金科10年城东区,江北石马河盘溪路480号,3室2厅1卫,98.6㎡,低层(共10层),2011年建造,15721元/㎡
3室2厅 145万 精装修 83平 法蓝西莊邸枫丹里 价可谈,法蓝西莊邸枫丹里,南岸茶园新区雷家桥支路2号,3室2厅1卫,83㎡,中层(共11层),2015年建造,17470元/㎡
轻轨800米 茶园万国城洋房 3房2卫 南北通透 出门即商圈,中国铁建万国城68号,南岸茶园新区梨花大道570号,3室2厅2卫,97.4㎡,中层(共8层),2017年建造,15074元/㎡
带有谢小，随时用， 诚心出售 价格可议,子龙公寓,九龙坡谢家湾谢家湾正街94号,3室2厅1卫,95㎡,中层(共9层),2003年建造,15264元/㎡
美式装修，带暖气，中间楼层，户型方正，,金科城59区,北碚蔡家长平路66号,3室2厅2卫,94.9㎡,低层(共10层),2016年建造,15800元/㎡
江北 南北通透3房 大落地窗卧室，诚心出售,金科10年城东区,江北石马河盘溪路480号,3室2厅1卫,97.2㎡,低层(共10层),2011年建造,15955元/㎡
金科10年城东区 满二 3室2厅 电梯房 97平 房东急置换,金科10年城东区,江北石马河盘溪路480号,3室2厅1卫,97.2㎡,低层(共10层),2011年建造,15955元/㎡
整套房子用两个字来概括！豪华！金科品质洋房小区端户三房双卫,金科城59区,北碚蔡家长平路66号,3室2厅2卫,94.9㎡,中层(共8层),2015年建造,15273元/㎡
145万 中国铁建万国城洋房 97平 南北通透 看房方便,中国铁建万国城68号,南岸茶园新区梨花大道570号,3室2厅2卫,97.4㎡,中层(共8层),2018年建造,14889元/㎡
蔡家爱琴海，轻轨洋房小区，精装三房出售,隆鑫爱琴海(1期),北碚蔡家同华路78号,3室2厅1卫,93.6㎡,中层(共8层),2016年建造,14964元/㎡
南岸！茶园解放碑 145万 中国铁建万国城68号 3室2厅,中国铁建万国城68号,南岸茶园新区梨花大道570号,3室2厅2卫,97.4㎡,中层(共7层),2019年建造,14889元/㎡
龙湖源著天街旁 小高层三房 精装修 看中庭 住家安静,金科10年城东区,江北石马河盘溪路480号,3室2厅1卫,97.2㎡,低层(共10层),2011年建造,15955元/㎡
龙湖天街旁，正规大三房，业主诚心出售,金科10年城东区,江北石马河盘溪路480号,3室2厅1卫,97.2㎡,低层(共10层),2011年建造,15955元/㎡
金科品质洋房。豪华装修三房双卫户型，拎包入住，欢迎咨询,金科城59区,北碚蔡家长平路66号,3室2厅2卫,94.9㎡,中层(共8层),2015年建造,15800元/㎡
南北通透 满二 品质洋房 97平 看房方便 有钥匙,中国铁建万国城68号,南岸茶园新区梨花大道570号,3室2厅2卫,97.4㎡,中层(共7层),2018年建造,14684元/㎡
金科十年城东区 精装三房户型方正南北通透 双阳台业主诚心出售,金科10年城东区,江北石马河盘溪路480号,3室2厅1卫,97.2㎡,低层(共10层),2011年建造,15955元/㎡
奥园广场旁中铁品质洋房，正规3房2卫，中间楼层，业主急售！,中国铁建万国城68号,南岸茶园新区梨花大道570号,3室2厅2卫,97.4㎡,中层(共7层),2018年建造,14889元/㎡
蔡家爱琴海，轻轨洋房小区，精装三房出售,隆鑫爱琴海(1期),北碚蔡家同华路78号,3室2厅1卫,93.6㎡,中层(共8层),2016年建造,14964元/㎡
刘家坪轻轨旁，中铁大开发商低于市场价15万小洋房。业主诚售,中国铁建万国城68号,南岸茶园新区梨花大道570号,3室2厅2卫,97.4㎡,中层(共8层),2019年建造,14889元/㎡
奥园商圈中铁洋房，版式结构诚心出售，小区环境新,中国铁建万国城68号,南岸茶园新区梨花大道570号,3室2厅2卫,97.4㎡,中层(共8层),2017年建造,14889元/㎡
快来捡趴活！刘家坪轻轨站附近，目前为止   的小洋房,中国铁建万国城68号,南岸茶园新区梨花大道570号,3室2厅2卫,97.4㎡,中层(共7层),2019年建造,14889元/㎡
中铁万国城正规三房双卫洋房145万  出门奥园商圈永辉超市,中国铁建万国城68号,南岸茶园新区梨花大道570号,3室2厅2卫,97.4㎡,中层(共7层),2019年建造,14889元/㎡
刘家坪轻轨站 中铁电梯洋房 南北通透楼下永辉商圈,中国铁建万国城68号,南岸茶园新区梨花大道570号,3室2厅2卫,97.4㎡,中层(共8层),2015年建造,14889元/㎡
奥园广场，万国城商圈旁精致洋房 住家环境好,中国铁建万国城68号,南岸茶园新区梨花大道570号,3室2厅2卫,97.4㎡,中层(共7层),2018年建造,14889元/㎡
茶园CBD！奥园城市天地广场旁，万国城68号3房双卫145万,中国铁建万国城68号,南岸茶园新区梨花大道570号,3室2厅2卫,97.4㎡,中层(共8层),2018年建造,14889元/㎡
全新小区 南北通透板式洋房 低于市场价 正规三房双卫随时看房,中国铁建万国城68号,南岸茶园新区梨花大道570号,3室2厅2卫,97.4㎡,中层(共8层),2015年建造,14889元/㎡
茶园解放碑 中铁品质洋房 全朝中庭 板式结构 出门商圈,中国铁建万国城68号,南岸茶园新区梨花大道570号,3室2厅2卫,97.4㎡,中层(共8层),2017年建造,14889元/㎡
茶园奥园商圈 中铁品质洋房 清水三房 145万 小区附近永辉,中国铁建万国城68号,南岸茶园新区梨花大道570号,3室2厅2卫,97.4㎡,中层(共7层),2018年建造,14889元/㎡
奥园广场配套，永辉超市旁边，品质洋房,中国铁建万国城68号,南岸茶园新区梨花大道570号,3室2厅2卫,97.4㎡,中层(共9层),2016年建造,14889元/㎡
茶园中心，中铁品质，三房洋房，只要147万,中国铁建万国城68号,南岸茶园新区梨花大道570号,3室2厅2卫,97.4㎡,中层(共7层),2019年建造,15094元/㎡
140万 鲁能领秀城四街区 86平 3室2厅2卫 诚心出售,鲁能领秀城四街区(洋墅区),南岸茶园新区吉庆路54号,3室2厅2卫,86㎡,中层(共8层),2016年建造,16280元/㎡
人民 上清寺正规3房，出行方便  采光好,中山三路172号小区,渝中上清寺中山三路172号,3室2厅1卫,81㎡,中层(共8层),2000年建造,18025元/㎡
江北 南北通透3房 大落地窗卧室，诚心出售,金科10年城东区,江北石马河盘溪路480号,3室2厅1卫,97.2㎡,低层(共10层),2011年建造,15955元/㎡
高新区科学城 微电园轻轨站旁 品质洋房 南北朝向 住家安静,美的金科郡,"沙坪坝西永西双大道147号,学城大道130号",3室2厅1卫,86㎡,中层(共8层),2018年建造,16855元/㎡
朝南 满二 3室2厅 龙脊金山名都 电梯房 采光好 周边商圈,龙脊金山名都,渝北汽博中心金渝大道83号,3室2厅1卫,88.6㎡,中层(共11层),2007年建造,16598元/㎡
蔡家爱琴海，轻轨洋房小区，精装三房出售,隆鑫爱琴海(1期),北碚蔡家同华路78号,3室2厅1卫,93.6㎡,中层(共8层),2016年建造,14964元/㎡
茶园洋房3室2厅 143万 99平 金科中央御院(一期) 清,金科中央御院(一期),南岸茶园新区永宁路19号,3室2厅2卫,99㎡,中层(共6层),2015年建造,14445元/㎡
精装修 隆鑫爱琴海(1期) 3室2厅 140万 电梯房 满二,隆鑫爱琴海(1期),北碚蔡家同华路78号,3室2厅1卫,93.6㎡,中层(共8层),2015年建造,14964元/㎡
金科十年城南北通透板式小洋房 三房一卫位置安静 业主诚心出售,金科10年城东区,江北石马河盘溪路480号,3室2厅1卫,98.6㎡,低层(共10层),2010年建造,15721元/㎡
现在的金科业主有点烦  别人房价   金科不涨价  任性,金科城59区,北碚蔡家长平路66号,3室2厅2卫,92㎡,中层(共11层),2015年建造,16854元/㎡
人小现已四年  3室1厅 81平 155万  采光好,中山三路172号小区,渝中上清寺中山三路172号,3室1厅1卫,81㎡,中层(共10层),2000年建造,19136元/㎡
金科城品质洋房，三房双卫，带车位出售，,金科城59区,北碚蔡家长平路66号,3室2厅2卫,96㎡,中层(共8层),2017年建造,16146元/㎡
爱琴海洋房 小三房150万 南北通透 中间楼层 业主急售,两江名苑伯克林,渝北照母山龙健路6号,3室2厅1卫,85.3㎡,中层(共7层),2017年建造,17585元/㎡
九公里轻轨站旁边曦圆青岗湾清水电梯洋房三室两厅双卫诚信出售,曦圆青岗湾(二期),巴南李家沱巴南大道68号,3室2厅2卫,92.3㎡,高层(共7层),2016年建造,15170元/㎡
鹿角奥特莱斯旁，金科美辰，品质洋房，业主诚心出售,金科美辰,巴南鹿角华林路1118号,3室2厅2卫,95㎡,中层(共9层),2020年建造,16099元/㎡
蔡家轻轨旁 隆鑫爱琴海洋房精装修三房,隆鑫爱琴海(1期),北碚蔡家同华路78号,3室2厅1卫,93.6㎡,中层(共8层),2017年建造,14964元/㎡
近轻轨 近商圈 配套齐全 板式结构三房双卫,中国铁建万国城68号,南岸茶园新区梨花大道570号,3室2厅2卫,97.4㎡,中层(共8层),2019年建造,14889元/㎡
融汇半岛 越昕晖 精装三房洋房 装修九成新 业主安心卖的,越昕晖,巴南融汇西流沱三村99号,3室2厅2卫,97.3㎡,中层(共8层),2015年建造,14383元/㎡
145万买，奥园广场旁洋房，正规三房两卫，全朝中庭,中国铁建万国城68号,南岸茶园新区梨花大道570号,3室2厅2卫,97.4㎡,中层(共6层),2019年建造,14889元/㎡
89平 电梯房 145万 精装修 3室2厅 看房方便 有钥匙,银翔后住,南岸茶园新区广福大道17号,3室2厅1卫,89.2㎡,中层(共9层),2016年建造,16258元/㎡
刘家坪地铁站旁奥园精装三房带80平米私家花园,奥园越时代(C区),南岸刘家坪创智路265号,3室2厅1卫,81㎡,中层(共11层),2017年建造,17902元/㎡
蔡家曹家湾轻轨站旁带60几平大露台的金科清水大三房,金科城37区,北碚蔡家嘉景大道6号,3室2厅1卫,89.2㎡,中层(共8层),2016年建造,16826元/㎡
照母山两江名苑伯克林 精装小三房 纯洋房社区 背后就是公园,两江名苑伯克林,渝北照母山龙健路6号,3室2厅1卫,85.3㎡,中层(共7层),2018年建造,18172元/㎡
诚售 协信城揽院 精装修跃层三房双卫 带独立阳台 视野采光棒,协信城立方揽院,沙坪坝大学城大学城中路6号,3室2厅2卫,98.4㎡,中层(共7层),2015年建造,15252元/㎡
蔡家59区豪装，业主疯狂了，只想出售房子，价都不涨了,金科城59区,北碚蔡家长平路66号,3室2厅2卫,94.9㎡,低层(共11层),2015年建造,16327元/㎡
轻轨1号线旁临湖洋房 精装修 保持好,隆鑫花漾湖,九龙坡二郎兰美路988号,3室2厅2卫,94.5㎡,中层(共8层),2010年建造,16083元/㎡
蔡家必看！龙湖天街旁小户型洋房，140几万买横厅大三房,保亿御景玖园,"北碚蔡家蔡支路,近金兴大道",3室2厅2卫,98.8㎡,中层(共8层),2021年建造,14677元/㎡
瞧过来 11中旁 金科精装洋房 价格美丽 可以洋房何必高层,金科中央御院(一期),南岸茶园新区永宁路19号,3室2厅2卫,98.9㎡,高层(共7层),2015年建造,15472元/㎡
超高性价比！轻轨旁，洋房社区 配套成熟，生活方便,华润公园九里,渝北中央公园玉谷路23号,3室2厅2卫,97㎡,中层(共8层),2021年建造,15774元/㎡
7月9号上新鸳鸯汽博金山名都现代轻奢风格门口公交站,龙脊金山名都,渝北汽博中心金渝大道83号,3室2厅1卫,88.6㎡,低层(共11层),2008年建造,15807元/㎡
九公里轻轨站青岗湾精装三房两卫 电梯房 洋房 朝向好拎包入住,曦圆青岗湾(二期),巴南李家沱巴南大道68号,3室2厅2卫,89㎡,高层(共6层),2018年建造,16398元/㎡
中国铁建万国城68号 3室2厅 97平 147万 满二 居家,中国铁建万国城68号,南岸茶园新区梨花大道570号,3室2厅2卫,97.4㎡,中层(共7层),2018年建造,15094元/㎡
精装修 满二 155万 南北通透 97平 诚心出售 价格可议,金科10年城东区,江北石马河盘溪路480号,3室2厅1卫,97.2㎡,低层(共10层),2008年建造,15955元/㎡
人民人小标房上清寺工行楼上正规3房，没有用过,中山三路172号小区,渝中上清寺中山三路172号,3室2厅1卫,81㎡,高层(共7层),2005年建造,18272元/㎡
豪华装修朝中庭户型，带车位价格，居家非常安静，成熟地段位置！,金科城59区,北碚蔡家长平路66号,3室2厅2卫,94.9㎡,低层(共11层),2016年建造,15800元/㎡
区府旁小洋楼 采光好户型方正 小区环境优美 业主诚心出售,银翔后住,南岸茶园新区广福大道17号,3室2厅1卫,89.2㎡,中层(共9层),2016年建造,16258元/㎡
中国铁建 品质洋房 商业中心地段 出入便捷,中国铁建万国城68号,南岸茶园新区梨花大道570号,3室2厅2卫,97.4㎡,中层(共6层),2019年建造,14889元/㎡
精装修 3室2厅 电梯房 满二  住房 155万 看房方便,金科10年城东区,江北石马河盘溪路480号,3室2厅1卫,97.2㎡,低层(共10层),2011年建造,15955元/㎡
59区电梯精装三房业主居家自住保养好采光好，业主诚心出售。,金科城59区,北碚蔡家长平路66号,3室2厅2卫,94.9㎡,低层(共11层),2015年建造,16221元/㎡
朝南 3室2厅 89平 143万 满五  住房 银翔后住 看,银翔后住,南岸茶园新区广福大道17号,3室2厅1卫,89.2㎡,中层(共11层),2016年建造,16034元/㎡
奥园广场，万国城商圈旁精致洋房 住家环境好,中国铁建万国城68号,南岸茶园新区梨花大道570号,3室2厅2卫,97.4㎡,中层(共7层),2018年建造,14889元/㎡
品质洋房金科城 三房双卫豪装修,金科城59区,北碚蔡家长平路66号,3室2厅2卫,94.9㎡,低层(共11层),2016年建造,16116元/㎡
精装修 154万 3室2厅 电梯房 94平 金科城59区 看,金科城59区,北碚蔡家长平路66号,3室2厅2卫,94.9㎡,低层(共11层),2015年建造,16221元/㎡
全茶园洋房价格 底一套！出门就是奥园和万国城商业！,中国铁建万国城68号,南岸茶园新区梨花大道570号,3室2厅2卫,97.4㎡,中层(共8层),2019年建造,14889元/㎡
电梯房 金科城59区 南北通透 3室2厅 居家自住 保养好,金科城59区,北碚蔡家长平路66号,3室2厅2卫,94.9㎡,低层(共11层),2015年建造,16116元/㎡
中铁万国城四房价格是,中国铁建万国城68号,南岸茶园新区梨花大道570号,3室2厅2卫,97.4㎡,中层(共8层),2019年建造,14889元/㎡
看过来茶园中铁万国城三房双卫环境好位置好145万,中国铁建万国城68号,南岸茶园新区梨花大道570号,3室2厅2卫,97.4㎡,中层(共8层),2018年建造,14889元/㎡
快来捡趴活！刘家坪轻轨站附近，目前为止   的小洋房,中国铁建万国城68号,南岸茶园新区梨花大道570号,3室2厅2卫,97.4㎡,中层(共7层),2019年建造,14889元/㎡
145万 中国铁建万国城洋房 97平 南北通透 看房方便,中国铁建万国城68号,南岸茶园新区梨花大道570号,3室2厅2卫,97.4㎡,中层(共8层),2018年建造,14889元/㎡
茶园奥园商圈 中铁品质洋房 清水三房 145万 小区附近永辉,中国铁建万国城68号,南岸茶园新区梨花大道570号,3室2厅2卫,97.4㎡,中层(共7层),2018年建造,14889元/㎡
奥园商圈中铁洋房，版式结构诚心出售，小区环境新,中国铁建万国城68号,南岸茶园新区梨花大道570号,3室2厅2卫,97.4㎡,中层(共8层),2017年建造,14889元/㎡
南北通透 满二 品质洋房 97平 看房方便 有钥匙,中国铁建万国城68号,南岸茶园新区梨花大道570号,3室2厅2卫,97.4㎡,中层(共7层),2018年建造,14684元/㎡
房东急售，奥园广场旁南北通透洋房一梯两户，高层价格买洋房。,中国铁建万国城68号,南岸茶园新区梨花大道570号,3室2厅2卫,97.4㎡,中层(共8层),2018年建造,14581元/㎡
机会！含泪降价十万急售中铁万国城洋房！茶园CBD！出门双商圈,中国铁建万国城68号,南岸茶园新区梨花大道570号,3室2厅2卫,97.4㎡,中层(共7层),2019年建造,14889元/㎡
比市场价便宜20万，纯洋房社区，6号轻轨站旁，户型好，等什么,中国铁建万国城68号,南岸茶园新区梨花大道570号,3室2厅2卫,97.4㎡,中层(共8层),2018年建造,14889元/㎡
低于市场价10万诚心售，天台岗小xue旁 南北通透采光好,中国铁建万国城68号,南岸茶园新区梨花大道570号,3室2厅2卫,97.4㎡,中层(共8层),2018年建造,14684元/㎡
双商圈旁 品质洋房 板式结构 南北通透 宽景大阳台 近轻轨,中国铁建万国城68号,南岸茶园新区梨花大道570号,3室2厅2卫,97.4㎡,中层(共7层),2019年建造,14889元/㎡
近轻轨，商圈中心的纯洋房，南北通透一梯两户，门口就是超市公交,中国铁建万国城68号,南岸茶园新区梨花大道570号,3室2厅2卫,97.4㎡,中层(共6层),2018年建造,14889元/㎡
97平 电梯房 145万 南北通透 采光好 周边商圈成熟,中国铁建万国城68号,南岸茶园新区梨花大道570号,3室2厅2卫,97.4㎡,中层(共8层),2018年建造,14889元/㎡
满二 145万 南北通透 电梯房 采光好 周边商圈成熟,中国铁建万国城68号,南岸茶园新区梨花大道570号,3室2厅2卫,97.4㎡,中层(共7层),2018年建造,14889元/㎡
新上！九公里轻轨旁 精装三房两卫双阳台 电梯洋房 拎包入住,曦圆青岗湾(二期),巴南李家沱巴南大道68号,3室2厅2卫,89㎡,高层(共6层),2018年建造,16285元/㎡
精致装修，住家温馨，户型0浪费，,银翔后住,南岸茶园新区广福大道17号,3室2厅1卫,89.2㎡,中层(共11层),2016年建造,16258元/㎡
巴滨路上亲江洋房 轻轨房 业主稳定 环境优美 次新小区,珠江城(A区),巴南融汇龙汇路1488号,3室2厅2卫,99.5㎡,中层(共8层),2016年建造,14067元/㎡
！145万，万国城，真洋房！正规大三房双卫，南北通透！,中国铁建万国城68号,南岸茶园新区梨花大道570号,3室2厅2卫,97.4㎡,中层(共7层),2018年建造,14889元/㎡
降价出售 金童路轻轨站旁 精装三房 全新装修 业主诚心出售,龙脊金山名都,渝北汽博中心金渝大道83号,3室2厅1卫,88.6㎡,中层(共11层),2008年建造,15807元/㎡
大学城跃层洋房 现代风装修 环境优美 全新未住过人 随时看房,协信城立方玺院,沙坪坝大学城大学城南二路,3室3厅2卫,95.8㎡,中层(共8层),2014年建造,15658元/㎡
康田紫悦府 清水洋房三房双卫 首付20w 低于市场价轻轨房,康田紫悦府,沙坪坝大学城思贤路46号,3室2厅2卫,94.5㎡,中层(共11层),2015年建造,15872元/㎡
必看好房 3室2厅 电梯房 145万 诚心出售 价格可议,中国铁建万国城68号,南岸茶园新区梨花大道570号,3室2厅2卫,97.4㎡,中层(共7层),2018年建造,14889元/㎡
国盛洋房  87平141万 三房3卫 住家精装修,国盛园墅(A区),沙坪坝西永西尊路188号,3室1厅3卫,86㎡,中层(共11层),2016年建造,16396元/㎡
喜鹊！墅区洋房带30平大露台。正规3房，,金科城37区,北碚蔡家嘉景大道6号,3室2厅1卫,89.2㎡,中层(共8层),2015年建造,16804元/㎡
160平露台茶园长生桥轻轨旁幸福时光里精装三房急售 拎包入住,幸福时光里,南岸茶园新区通江大道101号,3室2厅2卫,97.6㎡,中层(共11层),2015年建造,14865元/㎡
新上 金科十年城东区 小三室 南北朝向 155万 随时看房子,金科10年城东区,江北石马河盘溪路480号,3室2厅1卫,97.2㎡,低层(共10层),2010年建造,15955元/㎡
品质小洋楼，精装3房，业主诚意出售,法蓝西莊邸枫丹里,南岸茶园新区雷家桥支路2号,3室2厅1卫,83㎡,中层(共11层),2015年建造,17470元/㎡
低于市场价20万!! 清水正三房 坐北朝南 业主急售,鲁能泰山7号十八街区,"渝北中央公园兰桂大道,近金山大道",3室2厅2卫,86㎡,中层(共9层),2017年建造,16280元/㎡
金科11 南小旁  金科品质洋房  目前整个小区   的咯,金科中央御院(一期),南岸茶园新区永宁路19号,3室2厅2卫,98.9㎡,高层(共6层),2015年建造,15674元/㎡
新鲜出炉 巴滨路 珠江城 豪华装修经典三房  业主急售,珠江城(A区),巴南融汇龙汇路1488号,3室2厅1卫,98.3㎡,中层(共8层),2016年建造,16082元/㎡
照母山 康田花园洋房清水3房2卫使得套内105平米 环境优美,康田蔚蓝海(A区),渝北照母山康景路168号,3室2厅2卫,85.1㎡,中层(共8层),2016年建造,17637元/㎡
（鲜货急售）三房双卫 端户带私人花园 嘉陵江畔  墅区洋房,金科城37区,北碚蔡家嘉景大道6号,3室2厅2卫,89㎡,中层(共8层),2016年建造,16630元/㎡
巴滨路上轻轨站旁，电梯入户洋房，装修未入住，主卧带书房,珠江城(A区),巴南融汇龙汇路1488号,3室2厅2卫,99.8㎡,中层(共8层),2016年建造,15538元/㎡
渝中区人 小，四年级，正规三房，位子好。,中山三路172号小区,渝中上清寺中山三路172号,3室1厅1卫,81㎡,中层(共8层),1999年建造,18519元/㎡
金科洋房 三房两厅两卫 带车位 业主安心惨了,金科城59区,北碚蔡家长平路66号,3室2厅2卫,96㎡,低层(共10层),2017年建造,16146元/㎡
协信城立方揽院 158万 精装修 3室2厅 朝南 采光好,协信城立方揽院,沙坪坝大学城大学城中路6号,3室2厅2卫,98.4㎡,中层(共7层),2018年建造,16066元/㎡
149万 97平 3室2厅 电梯房 美的金科郡 满二 诚心出,美的金科郡,"沙坪坝西永西双大道147号,学城大道130号",3室2厅1卫,97.2㎡,中层(共8层),2018年建造,15323元/㎡
电梯房 精装修 满二 140万带车位出售  看房方便 有钥匙,千威先生的洋房,渝北空港观月大道77号,3室2厅2卫,98.3㎡,中层(共11层),2018年建造,14247元/㎡
隆鑫爱琴海 93平 140万 精装修 楼层好 视野无遮挡,隆鑫爱琴海(1期),北碚蔡家同华路78号,3室2厅1卫,93.6㎡,中层(共8层),2016年建造,14964元/㎡
龙湖天街旁边 送产权车位 就在轻轨旁边,保亿御景玖园,"北碚蔡家蔡支路,近金兴大道",3室2厅2卫,92.1㎡,中层(共8层),2021年建造,16281元/㎡
精装洋房大平层 结房精装修  纯洋房区 高素质住户 拎包入主,佳兆业珑樾壹号,"沙坪坝曾家大学城南二路,近思贤路",3室2厅2卫,90㎡,低层(共9层),2018年建造,16667元/㎡
59区豪华装修 处处是细节 风格大气有格调 户型方正环境优美,金科城59区,北碚蔡家长平路66号,3室2厅2卫,94.9㎡,低层(共11层),2015年建造,16221元/㎡
