标题,楼盘,地址,户型,面积,楼层,年代,价格
145万买三房中央公园轻轨站500米 洋房社区加推小户型,华润公园九里,渝北中央公园玉谷路23号,3室2厅2卫,97㎡,中层(共8层),2020年建造,14949元/㎡
中央公园轻轨洋房，投资自住都是 之选， 户型端正性价比高,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,99㎡,中层(共8层),2021年建造,14142元/㎡
渝北中央公园  鹿山轻轨站就在旁边 高端品质,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,89㎡,中层(共8层),2021年建造,16742元/㎡
中央公园旁边 唔悦广场旁 清水三房,鲁能泰山7号十七街区,渝北中央公园博汇路10号,3室2厅2卫,85㎡,中层(共9层),2017年建造,21177元/㎡
渝中 万科锦尚3期洋房 2018年次新小区 三轻轨 还有车位,万科锦尚,九龙坡石桥铺罗汉沟26号,3室2厅1卫,88.9㎡,低层(共11层),2018年建造,20248元/㎡
100平 板式洋房，简单基装修正规三室两卫，小区环境优美,融创凡尔赛香榭,渝北照母山星融路15号,3室2厅2卫,97㎡,中层(共8层),2017年建造,20104元/㎡
鲁能泰山洋房4房2卫，朝中庭，采光好，业主诚心出售,鲁能泰山7号十九街区,"渝北中央公园兰桂大道,近金山大道",3室2厅2卫,85㎡,中层(共9层),2019年建造,21765元/㎡
热爆中央公园轻轨房 公园环绕 周边成熟 地铁三百米 错过再无,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,89㎡,中层(共8层),2021年建造,15731元/㎡
业主急售！万科锦尚三期洋房！精装从未住过人，带车位,万科锦尚,九龙坡石桥铺罗汉沟26号,3室2厅1卫,88.9㎡,低层(共10层),2018年建造,21373元/㎡
！渝北中央公园洋房社区 10号轻轨房 高端品质 配套成熟,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,97㎡,中层(共8层),2018年建造,14433元/㎡
惊喜！渝北！公园东10号轻轨鹿山旁纯洋房社区,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,99㎡,中层(共8层),2020年建造,14546元/㎡
首付30万抢中央公园轻轨洋房 正规三房两卫格局 总价143万,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,89㎡,中层(共8层),2021年建造,16068元/㎡
万科锦尚洋房 18年次新小区 三轻轨,万科锦尚,九龙坡石桥铺罗汉沟26号,3室2厅1卫,88.9㎡,低层(共11层),2018年建造,20810元/㎡
中央公园三房两卫150万起10号轻轨房配套成熟,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,97㎡,中层(共8层),2021年建造,15980元/㎡
3室2厅 万科锦尚 满二  住房 电梯房 诚心出售 价格可议,万科锦尚,九龙坡石桥铺罗汉沟26号,3室2厅1卫,88.9㎡,低层(共10层),2018年建造,21260元/㎡
渝北公园，特推！鹿山轻轨站旁，洋房三房双卫，南北通透,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,99㎡,中层(共8层),2021年建造,14344元/㎡
万科锦尚三期 三房带车位出售 随时看房,万科锦尚,九龙坡石桥铺罗汉沟26号,3室2厅1卫,88.9㎡,低层(共10层),2015年建造,20810元/㎡
金科天籁城美社 2室2厅 满五 143万 楼层好 视野无遮挡,金科天籁城美社,渝北人和双宁路172号,2室2厅2卫,93㎡,中层(共11层),2005年建造,15377元/㎡
沙区 城城 陈家桥 纯洋房 智慧小区 7米阔景阳台,华远海蓝和光,沙坪坝陈家桥慧堂路,3室2厅2卫,99㎡,中层(共8层),2019年建造,14334元/㎡
中央公园稀有小户型加推！轻轨200米！成熟配套！,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,99㎡,中层(共8层),2020年建造,15039元/㎡
中央公园小洋房丶轻轨200米丶南北通透丶周边配套成熟丶,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,99㎡,高层(共6层),2020年建造,15152元/㎡
西区高品质洋房，临轻轨，交通方便，周边配套成熟，购物便利。,华远海蓝和光,沙坪坝陈家桥慧堂路,3室2厅2卫,99㎡,中层(共6层),2020年建造,14809元/㎡
！还不起按揭！旁边是八钟和巴蜀丶近公园近商圈丶轻轨50米,公园大道,"渝北中央公园公园东路,近同茂大道",3室2厅1卫,94㎡,中层(共8层),2018年建造,16869元/㎡
！渝北中央公园洋房社区 10号轻轨房 高端品质 配套成熟,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,97㎡,中层(共8层),2018年建造,14433元/㎡
渝北公园 轻轨200米 花园洋房 双公园环绕 配套成熟可以看,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,99㎡,中层(共11层),2021年建造,14647元/㎡
渝北中央公园 鹿山轻轨站旁 品质洋房 大横厅大阳台,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,99㎡,高层(共7层),2020年建造,14748元/㎡
在售中央公园西区 荣盛花园洋房 正规三房 配套齐全,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,89㎡,中层(共8层),2020年建造,16832元/㎡
特推！鹿山轻轨旁，中央公园小洋楼双卫，南北通透,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,99㎡,中层(共8层),2020年建造,15152元/㎡
！年底！首付14万起买公园纯洋房弘阳昕悦棠,弘阳昕悦棠,渝北两路桂馥大道25号,3室2厅1卫,85㎡,中层(共8层),2019年建造,16471元/㎡
大学城小户型洋房精致户型，智慧生活，医疗完善，融创茂旁,华远海蓝和光,沙坪坝陈家桥慧堂路,3室2厅2卫,99㎡,中层(共8层),2018年建造,14647元/㎡
回兴首付2成买轻轨洋房，板式结构南北通透户型，横厅大阳台,爱情天宸万璟,渝北农业园区服装城大道,3室2厅2卫,99㎡,中层(共8层),2020年建造,14142元/㎡
开发商折扣小洋楼！园博园旁 万科精装  带地暖新风系统,万科金开悦府,"渝北悦来云卉路,近金兴大道",3室2厅2卫,95.3㎡,低层(共11层),2020年建造,14901元/㎡
在售（公园洋房）轻轨10号线旁鹿山站南北通透户型好配套完善,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,97㎡,中层(共8层),2021年建造,15052元/㎡
内部特价两江新区中式洋房精装现房在售抢完清盘靠近轻轨和商业,建发和玺,北碚蔡家金兴大道,3室2厅2卫,92㎡,中层(共6层),2020年建造,16305元/㎡
新房源！惊爆价！直降5万 低楼层 正规两房 朝向安静！,晨光小区,"沙坪坝三峡广场汉渝路,近龙泉路",2室2厅1卫,90㎡,低层(共9层),2005年建造,16445元/㎡
中央公园轻轨10号线旁 板式通透纯洋房 成熟配套出行方便,弘阳昕悦棠,渝北两路桂馥大道25号,3室2厅1卫,85㎡,中层(共8层),2021年建造,16471元/㎡
首开 大学城核心  佳兆业品牌精装修洋房  对面重大树人,佳兆业珑樾壹号,"沙坪坝曾家大学城南二路,近思贤路",3室2厅2卫,89㎡,中层(共9层),2021年建造,16843元/㎡
特价！渝北中央公园融创品牌精装   轻轨旁边,融创隐溪晓院,"渝北中央公园悦港大道,近土两路",3室2厅2卫,85㎡,中层(共8层),2021年建造,18236元/㎡
（花园洋房）中央公园十号线旁 三房可做四房 版式南北通透,弘阳昕悦棠,渝北两路桂馥大道25号,3室2厅2卫,99㎡,中层(共8层),2020年建造,16011元/㎡
151万买悦来品质小高层三公园环绕近轻轨近嘉陵江大横厅设计,江山雲出,渝北礼嘉古树坪路86号,3室2厅2卫,99.4㎡,中层(共11层),2021年建造,15189元/㎡
照母山北！园博园对面，环境优美 万科精装大3房！轻轨5号线旁,万科金开悦府,"渝北悦来云卉路,近金兴大道",3室2厅2卫,98.6㎡,中层(共8层),2019年建造,14809元/㎡
悦来万科精装两房一楼带花园,万科未来星光,"渝北悦来金兴大道,近翠岗路",3室2厅2卫,89㎡,中层(共8层),2018年建造,16293元/㎡
保利  开盘，位置尚好！开发商做口碑！.,保利和光尘樾,"渝北悦来悦清大道,近悦港大道",3室2厅2卫,95㎡,中层(共8层),2000年建造,15843元/㎡
渝北公园，鹿山轻轨站旁，洋房三房双卫，南北通透，成熟社区,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,99㎡,中层(共8层),2021年建造,15051元/㎡
150万   住房 99平 电梯房 3室2厅 华远海蓝和光,华远海蓝和光,沙坪坝陈家桥慧堂路,3室2厅2卫,99㎡,中层(共8层),2019年建造,15152元/㎡
两江新区 蔡家轻轨站附近 龙湖天街800米 纯洋房叠拼社区,保亿御景玖园,"北碚蔡家蔡支路,近金兴大道",3室2厅2卫,98.8㎡,中层(共8层),2021年建造,14677元/㎡
住房 3室2厅 南北通透 电梯房 房东急置换,中梁海成南山云璟,"南岸四公里广黔路,近海峡路",3室2厅2卫,99㎡,中层(共8层),2020年建造,15152元/㎡
渝北中央公园 138万买纯洋房 200多米轻轨站 公园环绕,弘阳昕悦棠,渝北两路桂馥大道25号,3室2厅1卫,86.5㎡,中层(共8层),2020年建造,17110元/㎡
中央公园荣盛鹿山府，公园房，近轻轨，五星体验之家大阳台房子,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,89㎡,中层(共8层),2021年建造,16854元/㎡
渝北！公园东 150万买 10号轻轨鹿山旁  纯洋房社区,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,99㎡,中层(共8层),2020年建造,14647元/㎡
双轨交汇！ 纯粹高端洋墅项目 房源有限 精装清水,融信海月平湖,渝北回兴宝桐路56号,3室2厅2卫,90㎡,中层(共8层),2019年建造,17223元/㎡
渝北中央公园配套成熟360万方商业横厅设计精装小户,海成云境,渝北空港新城睦邻路10号,3室2厅1卫,90㎡,中层(共8层),2019年建造,16667元/㎡
杨家坪超人气楼盘地段总价150万左右买九龙半岛品质洋房，,荣安九龙壹号,"九龙坡杨家坪龙江支路,近龙江路",3室2厅2卫,90㎡,中层(共8层),2021年建造,16889元/㎡
140万3室2厅99平中梁海成南山云璟楼层好洋房,中梁海成南山云璟,"南岸四公里广黔路,近海峡路",3室2厅2卫,99㎡,中层(共8层),2019年建造,14142元/㎡
中 央公园荣盛品质洋房，轻轨旁，1站公园里，交通便利繁华地段,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,99㎡,中层(共8层),2021年建造,14647元/㎡
电梯房 南北通透 150万 华远海蓝和光 采光好 周边商圈成,华远海蓝和光,沙坪坝陈家桥慧堂路,3室2厅2卫,99㎡,中层(共8层),2020年建造,15152元/㎡
公园品质洋房鹿山府 出门即轻轨站  两江国际商务,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,99㎡,中层(共8层),2021年建造,15051元/㎡
渝北中央公园，特推！鹿山轻轨站旁，洋房三房双卫，南北通透,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,99㎡,中层(共8层),2020年建造,15657元/㎡
中央公园小户型小洋楼！出门即轻轨丶员工内购价丶出门即轻轨丶,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,99㎡,高层(共7层),2020年建造,14142元/㎡
渝北融信精装洋房临近轻轨可首付两成送新风带地暖!,融信海月平湖,渝北回兴宝桐路56号,3室2厅2卫,90㎡,中层(共8层),2021年建造,16112元/㎡
沙坪坝三星智慧小区花园洋房，树人，3中家门口，配套成熟,华远海蓝和光,沙坪坝陈家桥慧堂路,3室2厅2卫,99.6㎡,中层(共8层),2011年建造,14765元/㎡
公园小洋房轻轨10号线旁鹿山南北通透户型好配套完善,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,97㎡,中层(共8层),2021年建造,15361元/㎡
渝北！中央公园东 150万买 10号轻轨鹿山旁  纯洋房社区,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,97㎡,中层(共11层),2020年建造,15464元/㎡
特价房 华远海蓝和光148万 3室2厅 电梯房 周边成熟,华远海蓝和光,沙坪坝陈家桥慧堂路,3室2厅2卫,99㎡,中层(共6层),2020年建造,14950元/㎡
回兴3轻轨旁首付2成买精装洋房，温馨三居室，周边配套成熟,融信海月平湖,渝北回兴宝桐路56号,3室2厅2卫,90㎡,中层(共8层),2020年建造,15556元/㎡
！！！New，首付30万买 中央公园洋楼 方正3室 轻轨站旁,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,99㎡,中层(共8层),2020年建造,15680元/㎡
员工特价！低总价150万！入住中央公园！鹿山轻轨站旁！,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,97㎡,中层(共8层),2020年建造,14433元/㎡
西永成熟配套华远海南和光 3房2卫 1梯2户 南北通透改善型,华远海蓝和光,沙坪坝陈家桥慧堂路,3室2厅2卫,99㎡,中层(共8层),2020年建造,14849元/㎡
渝北！公园东 150万买 10号轻轨鹿山旁  纯洋房社区,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,99㎡,中层(共8层),2020年建造,14647元/㎡
中央公园东 纯洋房社区品质3房 双商圈轻轨10号线鹿山旁,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,97㎡,中层(共11层),2021年建造,16475元/㎡
中央公园高品质洋房 出门就是轻轨站  三轻轨线环绕 总高6楼,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,99㎡,中层(共6层),2021年建造,15152元/㎡
大学城小户型洋房精致户型，智慧生活，医疗完善，融创茂旁,华远海蓝和光,沙坪坝陈家桥慧堂路,3室2厅2卫,99㎡,中层(共8层),2018年建造,14647元/㎡
一楼带花园丶清盘特价丶三轻轨地铁丶渝北回兴准现房洋房丶近商圈,融信海月平湖,渝北回兴宝桐路56号,3室2厅2卫,90㎡,中层(共8层),2021年建造,16000元/㎡
中央公园轻轨房！3号线10号线鹿山轻轨旁！三房双卫！周边成熟,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,97㎡,中层(共8层),2021年建造,15761元/㎡
！渝北中央公园洋房社区 10号轻轨房 高端品质 配套成熟,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,97㎡,中层(共8层),2018年建造,14433元/㎡
！渝北中央公园洋房社区 10号轻轨房 高端品质 配套成熟,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,97㎡,中层(共8层),2018年建造,14433元/㎡
中央公园高品质洋房 出门就是轻轨站  三轻轨线环绕 总高6楼,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,99㎡,中层(共6层),2020年建造,15960元/㎡
中央公园稀有小户型加推！轻轨200米！成熟配套！,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,99㎡,中层(共8层),2020年建造,15039元/㎡
电梯房 南北通透 150万 华远海蓝和光 采光好 周边商圈成,华远海蓝和光,沙坪坝陈家桥慧堂路,3室2厅2卫,99㎡,中层(共8层),2020年建造,15152元/㎡
中央公园小洋房丶轻轨200米丶南北通透丶周边配套成熟丶,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,99㎡,高层(共6层),2020年建造,15152元/㎡
西区高品质洋房，临轻轨，交通方便，周边配套成熟，购物便利。,华远海蓝和光,沙坪坝陈家桥慧堂路,3室2厅2卫,99㎡,中层(共6层),2020年建造,14809元/㎡
！还不起按揭！旁边是八钟和巴蜀丶近公园近商圈丶轻轨50米,公园大道,"渝北中央公园公园东路,近同茂大道",3室2厅1卫,94㎡,中层(共8层),2018年建造,16869元/㎡
在售中央公园西区 荣盛花园洋房 正规三房 配套齐全,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,89㎡,中层(共8层),2020年建造,16832元/㎡
特推！鹿山轻轨旁，中央公园小洋楼双卫，南北通透,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,99㎡,中层(共8层),2020年建造,15152元/㎡
中央公园东 纯洋房社区品质3房 双商圈轻轨10号线鹿山旁,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,97㎡,中层(共11层),2021年建造,16475元/㎡
！年底！首付14万起买公园纯洋房弘阳昕悦棠,弘阳昕悦棠,渝北两路桂馥大道25号,3室2厅1卫,85㎡,中层(共8层),2019年建造,16471元/㎡
中央公园小户型小洋楼！出门即轻轨丶员工内购价丶出门即轻轨丶,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,99㎡,高层(共7层),2020年建造,14142元/㎡
回兴首付2成买轻轨洋房，板式结构南北通透户型，横厅大阳台,爱情天宸万璟,渝北农业园区服装城大道,3室2厅2卫,99㎡,中层(共8层),2020年建造,14142元/㎡
开发商折扣小洋楼！园博园旁 万科精装  带地暖新风系统,万科金开悦府,"渝北悦来云卉路,近金兴大道",3室2厅2卫,95.3㎡,低层(共11层),2020年建造,14901元/㎡
在售（公园洋房）轻轨10号线旁鹿山站南北通透户型好配套完善,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,97㎡,中层(共8层),2021年建造,15052元/㎡
内部特价两江新区中式洋房精装现房在售抢完清盘靠近轻轨和商业,建发和玺,北碚蔡家金兴大道,3室2厅2卫,92㎡,中层(共6层),2020年建造,16305元/㎡
新房源！惊爆价！直降5万 低楼层 正规两房 朝向安静！,晨光小区,"沙坪坝三峡广场汉渝路,近龙泉路",2室2厅1卫,90㎡,低层(共9层),2005年建造,16445元/㎡
中央公园轻轨10号线旁 板式通透纯洋房 成熟配套出行方便,弘阳昕悦棠,渝北两路桂馥大道25号,3室2厅1卫,85㎡,中层(共8层),2021年建造,16471元/㎡
首开 大学城核心  佳兆业品牌精装修洋房  对面重大树人,佳兆业珑樾壹号,"沙坪坝曾家大学城南二路,近思贤路",3室2厅2卫,89㎡,中层(共9层),2021年建造,16843元/㎡
中央公园高品质洋房 出门就是轻轨站  三轻轨线环绕 总高6楼,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,99㎡,中层(共6层),2021年建造,15152元/㎡
特价！渝北中央公园融创品牌精装   轻轨旁边,融创隐溪晓院,"渝北中央公园悦港大道,近土两路",3室2厅2卫,85㎡,中层(共8层),2021年建造,18236元/㎡
（花园洋房）中央公园十号线旁 三房可做四房 版式南北通透,弘阳昕悦棠,渝北两路桂馥大道25号,3室2厅2卫,99㎡,中层(共8层),2020年建造,16011元/㎡
151万买悦来品质小高层三公园环绕近轻轨近嘉陵江大横厅设计,江山雲出,渝北礼嘉古树坪路86号,3室2厅2卫,99.4㎡,中层(共11层),2021年建造,15189元/㎡
照母山北！园博园对面，环境优美 万科精装大3房！轻轨5号线旁,万科金开悦府,"渝北悦来云卉路,近金兴大道",3室2厅2卫,98.6㎡,中层(共8层),2019年建造,14809元/㎡
悦来万科精装两房一楼带花园,万科未来星光,"渝北悦来金兴大道,近翠岗路",3室2厅2卫,89㎡,中层(共8层),2018年建造,16293元/㎡
保利  开盘，位置尚好！开发商做口碑！.,保利和光尘樾,"渝北悦来悦清大道,近悦港大道",3室2厅2卫,95㎡,中层(共8层),2000年建造,15843元/㎡
渝北公园，鹿山轻轨站旁，洋房三房双卫，南北通透，成熟社区,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,99㎡,中层(共8层),2021年建造,15051元/㎡
沙坪坝三星智慧小区花园洋房，树人，3中家门口，配套成熟,华远海蓝和光,沙坪坝陈家桥慧堂路,3室2厅2卫,99.6㎡,中层(共8层),2011年建造,14765元/㎡
两江新区 蔡家轻轨站附近 龙湖天街800米 纯洋房叠拼社区,保亿御景玖园,"北碚蔡家蔡支路,近金兴大道",3室2厅2卫,98.8㎡,中层(共8层),2021年建造,14677元/㎡
住房 3室2厅 南北通透 电梯房 房东急置换,中梁海成南山云璟,"南岸四公里广黔路,近海峡路",3室2厅2卫,99㎡,中层(共8层),2020年建造,15152元/㎡
渝北中央公园 138万买纯洋房 200多米轻轨站 公园环绕,弘阳昕悦棠,渝北两路桂馥大道25号,3室2厅1卫,86.5㎡,中层(共8层),2020年建造,17110元/㎡
中央公园荣盛鹿山府，公园房，近轻轨，五星体验之家大阳台房子,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,89㎡,中层(共8层),2021年建造,16854元/㎡
渝北！公园东 150万买 10号轻轨鹿山旁  纯洋房社区,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,99㎡,中层(共8层),2020年建造,14647元/㎡
双轨交汇！ 纯粹高端洋墅项目 房源有限 精装清水,融信海月平湖,渝北回兴宝桐路56号,3室2厅2卫,90㎡,中层(共8层),2019年建造,17223元/㎡
渝北中央公园配套成熟360万方商业横厅设计精装小户,海成云境,渝北空港新城睦邻路10号,3室2厅1卫,90㎡,中层(共8层),2019年建造,16667元/㎡
杨家坪超人气楼盘地段总价150万左右买九龙半岛品质洋房，,荣安九龙壹号,"九龙坡杨家坪龙江支路,近龙江路",3室2厅2卫,90㎡,中层(共8层),2021年建造,16889元/㎡
140万3室2厅99平中梁海成南山云璟楼层好洋房,中梁海成南山云璟,"南岸四公里广黔路,近海峡路",3室2厅2卫,99㎡,中层(共8层),2019年建造,14142元/㎡
中 央公园荣盛品质洋房，轻轨旁，1站公园里，交通便利繁华地段,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,99㎡,中层(共8层),2021年建造,14647元/㎡
美的纯洋房社区 双轻轨环绕 可做四房 邻融创茂龙湖 高新天街,美的云来,"沙坪坝陈家桥团歇路,近横一路",3室2厅2卫,99㎡,中层(共8层),2020年建造,14647元/㎡
渝北中央公园 鹿山轻轨站旁 品质洋房 大横厅大阳台,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,99㎡,高层(共7层),2020年建造,14748元/㎡
公园品质洋房鹿山府 出门即轻轨站  两江国际商务,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,99㎡,中层(共8层),2021年建造,15051元/㎡
渝北中央公园，特推！鹿山轻轨站旁，洋房三房双卫，南北通透,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,99㎡,中层(共8层),2020年建造,15657元/㎡
中央公园高品质洋房 出门就是轻轨站  三轻轨线环绕 总高6楼,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,99㎡,中层(共6层),2020年建造,15960元/㎡
大学城小户型洋房精致户型，智慧生活，医疗完善，融创茂旁,华远海蓝和光,沙坪坝陈家桥慧堂路,3室2厅2卫,99㎡,中层(共8层),2018年建造,14647元/㎡
回兴3轻轨旁首付2成买精装洋房，温馨三居室，周边配套成熟,融信海月平湖,渝北回兴宝桐路56号,3室2厅2卫,90㎡,中层(共8层),2020年建造,15556元/㎡
西永成熟配套华远海南和光 3房2卫 1梯2户 南北通透改善型,华远海蓝和光,沙坪坝陈家桥慧堂路,3室2厅2卫,99㎡,中层(共8层),2020年建造,14849元/㎡
渝北！中央公园东 150万买 10号轻轨鹿山旁  纯洋房社区,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,97㎡,中层(共11层),2020年建造,15464元/㎡
！渝北中央公园洋房社区 10号轻轨房 高端品质 配套成熟,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,97㎡,中层(共8层),2018年建造,14433元/㎡
渝北公园 轻轨200米 花园洋房 双公园环绕 配套成熟可以看,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,99㎡,中层(共11层),2021年建造,14647元/㎡
大学城小户型洋房精致户型，智慧生活，医疗完善，融创茂旁,华远海蓝和光,沙坪坝陈家桥慧堂路,3室2厅2卫,99㎡,中层(共8层),2018年建造,14647元/㎡
150万   住房 99平 电梯房 3室2厅 华远海蓝和光,华远海蓝和光,沙坪坝陈家桥慧堂路,3室2厅2卫,99㎡,中层(共8层),2019年建造,15152元/㎡
一楼带花园丶清盘特价丶三轻轨地铁丶渝北回兴准现房洋房丶近商圈,融信海月平湖,渝北回兴宝桐路56号,3室2厅2卫,90㎡,中层(共8层),2021年建造,16000元/㎡
渝北！公园东 150万买 10号轻轨鹿山旁  纯洋房社区,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,99㎡,中层(共8层),2020年建造,14647元/㎡
要是有150万买车还是买房,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,99㎡,中层(共8层),2020年建造,14647元/㎡
特价房 华远海蓝和光148万 3室2厅 电梯房 周边成熟,华远海蓝和光,沙坪坝陈家桥慧堂路,3室2厅2卫,99㎡,中层(共6层),2020年建造,14950元/㎡
！！！New，首付30万买 中央公园洋楼 方正3室 轻轨站旁,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,99㎡,中层(共8层),2020年建造,15680元/㎡
渝北融信精装洋房临近轻轨可首付两成送新风带地暖!,融信海月平湖,渝北回兴宝桐路56号,3室2厅2卫,90㎡,中层(共8层),2021年建造,16112元/㎡
公园小洋房轻轨10号线旁鹿山南北通透户型好配套完善,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,97㎡,中层(共8层),2021年建造,15361元/㎡
！渝北中央公园洋房社区 10号轻轨房 高端品质 配套成熟,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,97㎡,中层(共8层),2018年建造,14433元/㎡
中央公园轻轨房！3号线10号线鹿山轻轨旁！三房双卫！周边成熟,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,97㎡,中层(共8层),2021年建造,15761元/㎡
！渝北中央公园洋房社区 10号轻轨房 高端品质 配套成熟,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,97㎡,中层(共8层),2018年建造,14433元/㎡
员工特价！低总价150万！入住中央公园！鹿山轻轨站旁！,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,97㎡,中层(共8层),2020年建造,14433元/㎡
