楼盘名称,地址,单价,面积,数据来源
中骏弘阳樾景台,歇马新城碚青路曹家坝公交站旁,10500.0,,贝壳
旭辉金科空港,空港大道莲花轻轨站旁,15000.0,,贝壳
恒大新城,龙洲湾渝南大道,20000.0,,贝壳
金科美的原上,渝北区中央公园数据谷八中旁（秋成大道北段）,22000.0,,贝壳
长商悦湖荟,龙湖大道11号,5200.0,,贝壳
泊云府,渝南大道672号,12600.0,,贝壳
荣盛锦绣南山,龙洲湾商圈（海洋公园旁）,18000.0,,贝壳
菩提印象,长寿区长寿古镇桃源西3路568号,7000.0,,贝壳
橙珲随园,滨河大道橙珲随园,9000.0,,贝壳
公园大道,中央公园公园大道,22000.0,,贝壳
佳兆业篆山熙园,107省道佳兆业篆山熙园,15000.0,,贝壳
璞缇1号二期,桃源西四路7号,6500.0,,贝壳
蓝光雍锦府,兴龙大道896号,5600.0,,贝壳
东亚白云湖,青杠镇白云大道278-376号,7800.0,,贝壳
合能枫丹玖悦,渝南大道轻轨岔路口站旁,14000.0,,贝壳
山晓,南山崇文路214号，加勒比海旁品质楼盘,18000.0,,贝壳
万科未来星光,金兴大道（云图中心旁）,20000.0,,贝壳
龙湖紫云赋,水土中生活区（西大附中旁）,20000.0,,贝壳
金科中梁天悦府,飞龙路388号,15000.0,,贝壳
合谊理想城,巴滨路（建新公交站旁）,11000.0,,贝壳
奥贝学府一号,双福新区育才中学正大门口,8400.0,,贝壳
云山长麓,重庆市北碚区云开路云山长麓售楼部,11000.0,,贝壳
绿城上岛,璧青路689号,5800.0,,贝壳
佳兆业滨江新城,钢城大道佳兆业滨江新城,5500.0,,贝壳
金辉中央铭著,中央公园正南,16000.0,,贝壳
凯德九章,余溪北路2号,25000.0,,贝壳
云山晓,明晨大道云山晓,20000.0,,贝壳
中国铁建香漫溪岸,沿河东路北段184号,8000.0,,贝壳
津城壹号,长丰路人民广场,6700.0,,贝壳
桥达巴南茂宸广场,龙洲湾（汉海海洋公园旁）,20000.0,,贝壳
五洲城,星光大道222号,16000.0,,贝壳
奥园翡翠天辰,中山西路22号,8500.0,,贝壳
涪陵金科大都会,太白大道8号,5600.0,,贝壳
朗诗未来时光,绿岛新区黛山大道与铁山路交汇处,7200.0,,贝壳
雅居乐九里原香,两江新区·水土北·云汉大道中段,9000.0,,贝壳
凯辰玥明台,绿岛新区•云巴秀湖公园站（建设中）旁,10000.0,,贝壳
万科四季都会,重庆市两江新区云汉大道与万福路交叉处（6号线红岩坪站旁）,14000.0,,贝壳
天誉智慧城,朝天门大桥南桥头,17500.0,,贝壳
龙湖天际,渝北区两江国际商务中心,16000.0,,贝壳
万科金域学府,二塘路59号,8200.0,,贝壳
中粮重庆大悦城铂悦,中央公园·两江国际商务中心,14000.0,,贝壳
金融街融府,沙滨路金融街融府销售中心,22000.0,,贝壳
桥达巴南茂宸广场,龙泽路重庆汉海鲸豚湾水世界对面,9000.0,,贝壳
保利和光尘樾,悦清大道保利和光尘樾,17000.0,,贝壳
恒大金碧天下,恒大大道1号,9500.0,,贝壳
东原嘉阅湾,长平路889号,10000.0,,贝壳
璧山金茂悦,重庆市璧山区璧泉街道铁山路45号,8200.0,,贝壳
领琇长江,钢花路,15000.0,,贝壳
融信海月渝州,轨道环线奥体中心站旁,24500.0,,贝壳
西辰艺境,重庆西永赖家桥轻轨站旁,17000.0,,贝壳
佳兆业滨江四季,重庆市大渡口区大渡口钢花路247号,18000.0,,贝壳
金辉融恒江山云著,重庆市江北区盘溪南公交车站旁,23000.0,,贝壳
金融街嘉粼融府,渝北区金海大道,23000.0,,贝壳
沙磁1938,磁器口轻轨站50米处,22000.0,,贝壳
绿城春溪雲庐,腾芳大道777号,25000.0,,贝壳
建工半山郡,建工半山郡销售中心（轻轨5号线华成路站1A出口）,15500.0,,贝壳
中国铁建西派宸樾,重庆市大渡口区钢花路1537号,19000.0,,贝壳
玖著天宸,北碚区蔡家轨道曹家湾站旁（按照《重庆两江新区蔡家组团规划组团规划与自然环境保护》的相关内容，蔡家组团公园绿地由57个不同类型、不同级别、不同规模的公园构成。包括4个综合公园、6个专类公园、12个社区公园、9个带状公园、26个街旁绿地。新设立的社区，平均1个,15500.0,,贝壳
蓝光公园悦湖,恋湖公园旁,15900.0,,贝壳
城市之门,江北千厮门大桥北桥头,30000.0,,贝壳
金科集美城,德园路金科集美城,5200.0,,贝壳
重庆恒大健康城,津马大道重庆恒大健康城,8500.0,,贝壳
天地源水墨江山,碚青路天地源水墨江山,11500.0,,贝壳
财信龙水湖健康生态城,玉花路财信龙水湖文旅城,7500.0,,贝壳
中粮天悦壹号,北滨路 中粮天悦壹号流水美术馆,25000.0,,贝壳
浩创半山溪谷,龙洲湾云滨路999号,12000.0,,贝壳
融创壹号院,金开大道西段玉竹路,31000.0,,贝壳
通和睿庭,和平路162号（中华路小学旁）,28000.0,,贝壳
重庆融创城,一期青杠街道众泰路88号，二期大兴镇黛山大道973号,8500.0,,贝壳
金融街九龙金悦府,岩新城华福大道公交1站旁,16000.0,,贝壳
仁安南山院子,福寿路2号（向黄隧道路口右转200米）,15800.0,,贝壳
恒大时代新城,高新区铜陶路铜罐驿古镇旁,8800.0,,贝壳
北新御龙湾,嘉和大道555号,7000.0,,贝壳
正荣朗基悦江湾,思源路天安云谷总部基地8号楼,15000.0,,贝壳
恒大锦城,重庆市巴南区界西路南溪绿郡旁,9800.0,,贝壳
香港置地嘉景湾,两江新区金海大道滨江路,20000.0,,贝壳
保亿御江临风,重庆市南岸区大沙溪（原洋人街旁）,28000.0,,贝壳
北辰香麓,重庆市渝北区秋成大道与悦港大道交叉路口往南约150米,22000.0,,贝壳
华发四季半岛,南岸区寸滩长江大桥,19000.0,,贝壳
友锦锦绣新城,重庆市璧山区璧渝路339号附9号,8000.0,,贝壳
中凯华府,璧山御湖一支路8号（御湖小学旁）,10400.0,,贝壳
中交西园雅集,重庆市九龙坡区华岩新城民胜路39号,18000.0,,贝壳
联发玺悦,龙洲湾龙泽路,11800.0,,贝壳
东原江山印月,江北两江新区·复盛福生大道东原江山印月,13000.0,,贝壳
香港置地衿湖翠林,重庆两江新区中央公园西路镜湖旁,23000.0,,贝壳
江北嘴公园里,江北溉澜溪体育公园旁,23000.0,,贝壳
合能渝玥府,龙溪街道金龙路183号,26000.0,,贝壳
麓悦江城,仙桃街道数据谷东路19号,30000.0,,贝壳
凤鸣水岸,井口街道半边街,15000.0,,贝壳
中建清能悦和城,龙洲湾街道龙兰路中建清能悦和城,13000.0,,贝壳
龙湖颐天展图森镜,龙汇路鱼洞二小昕辉校区旁,20000.0,,贝壳
喜福里,轨道3号线观月路站4号出口,13500.0,,贝壳
万科锦绣滨江,渝中区华盛路化龙桥一盏时光北,28000.0,,贝壳
康田漫城,景阳路20号,7300.0,,贝壳
一曲晴江,一曲晴江,17000.0,,贝壳
融创欧麓花园城长乐雅颂,石泉与怡林路交叉口东南,15000.0,,贝壳
恒大云邸,新华路与正阳街交叉口东南50米,30000.0,,贝壳
新城悦隽风华,大学城南一路,16000.0,,贝壳
佳兆业樾伴山,璧泉街道铁山路24号,9000.0,,贝壳
荣盛鹿山府,渝北桂馥大道鹿山轻轨站旁,21000.0,,贝壳
中航昕晖璟辰,华岩商圈福隆路,13500.0,,贝壳
财信九悦府,高新区·陶家天盐路1号,8000.0,,贝壳
协信星澜汇,巴南龙州大道起点（渝南大道与箭河路交界处）,9800.0,,贝壳
枫香桂园,璧山绿岛新区,11000.0,,贝壳
美的万麓府,璧山区铁山路与璧青路交界处,9000.0,,贝壳
海伦堡玖悦府,渝北区观湖路98号,14000.0,,贝壳
中南上悦城,金桥路刘家坝公交站旁（车家坪小学旁）,15500.0,,贝壳
重庆one行政公寓,青年路77号,28000.0,,贝壳
中海天钻,五红路10号,16000.0,,贝壳
曲江新鸥鹏凤凰城,重庆市璧山区璧泉街道银山路1号,7000.0,,贝壳
金科博翠未来,重庆市北碚区两江新区新慧路,19000.0,,贝壳
合能枫丹宸悦,重庆市北碚区两江新区同泰路,14000.0,,贝壳
中粮祥云赋,两江新区西大附中水土校区旁,14000.0,,贝壳
春和锦明,两江新区中央公园北云汉大道高端住区,15000.0,,贝壳
融创九宸府,两江新区两江大道旁,20000.0,,贝壳
金辉玖珑云璟,重庆市九龙坡区龙腾大道119号金辉玖珑云璟,26000.0,,贝壳
旭辉上城,龙洲湾南云篆山麓云锦四路与云锦大道交叉口20米,9600.0,,贝壳
龙湖北滨910,观音桥鼎升国际旁,26500.0,,贝壳
海成云境,[渝北 - 中央公园] 睦邻路10号,17800.0,,贝壳
融创隐溪晓院,港悦大道999号,22000.0,,贝壳
光明拾光里MOMΛ,渝北区民意路36号附1号,14000.0,,贝壳
中梁海成南山云璟,南岸区广黔路加气站东南50 米,17000.0,,贝壳
北城空港天地,双凤桥街道空港大道777号,9600.0,,贝壳
华润置地润西山,西永西城大道,16500.0,,贝壳
贵博金海湾,涪陵区迎宾大道36号,7500.0,,贝壳
奥园城市天地悦府,重庆市九龙坡区玉清寺华玉路392号,16500.0,,贝壳
保利天珺,渝北区中央公园西路保利天珺,17000.0,,贝壳
琨洲华府,鼎山公园正大门旁,6500.0,,贝壳
万科御澜道,江北区凤澜路89号,20000.0,,贝壳
融创紫泉枫丹,缙云大道113号,15000.0,,贝壳
东亚白云湖,白云大道东侧（成渝高速青杠出口右行300米）,13000.0,,贝壳
金科博翠宸章,西永微电园西尊路与团歇路交叉路口,18000.0,,贝壳
壹江郡,金州大道壹江郡,23000.0,,贝壳
富力尚悦居,玉兰大道富力尚悦居,5800.0,,贝壳
新荧鸿城,德感街道东江路777号,5200.0,,贝壳
景瑞江山御府,陶园路与九江大道交叉路口处西南方向200米,8500.0,,贝壳
仁和西里,华岩新城轻轨5号线中梁山站旁,20000.0,,贝壳
首创禧悦学府,重庆·西永·科学城低密住区·公园旁,16500.0,,贝壳
棕榈泉壹号,金开大道90号,30000.0,,贝壳
两江郦湾,重庆市北碚区灯云公路西大附中两江校区旁,18000.0,,贝壳
芸峰时代峰汇,江津区珊瑚大道南,7400.0,,贝壳
招商公园上城,水土·红岩坪站（在建中）竹溪河公园畔,12500.0,,贝壳
保利阅江台,盘溪路南端100米,26000.0,,贝壳
华宇锦绣玺岸,重庆市大渡口区仁义街9号,22000.0,,贝壳
天誉林溪小区,科学城·沿河西路南段,7800.0,,贝壳
兆邦嘉璟,渝北区文慧路,24000.0,,贝壳
时代云著,重庆市璧山区璧泉街道吕凤子路,10200.0,,贝壳
黔江恒大名都,正阳新城恒大名都销售中心,5500.0,,贝壳
融创雲鼎城,科学城企业创新服务中心旁,16000.0,,贝壳
金辉彩湖云璟,九龙坡区石杨路102号,23000.0,,贝壳
中粮天悦壹号,江北区北滨路西段,25000.0,,贝壳
昕晖麓台熙著,滨江新城西江大道（管委会对面）,8000.0,,贝壳
中核岭寓,下徐家坡路,20000.0,,贝壳
卉森卉林玥,重庆市璧山区御湖路,10500.0,,贝壳
重庆当代城MOMΛ,重庆市璧山区黛山大道与聚金大道交汇处,8500.0,,贝壳
昕晖麓台山舍,滨江新城滨洲东路通泰门66号,8100.0,,贝壳
葛洲坝御湖蘭园,璧山秀湖公园旁（红星美凯龙对面）,8900.0,,贝壳
巴滨一号璀璨滨江,重庆市巴南区巴滨路2128号,10500.0,,贝壳
江津万达广场西江月,滨江新城（江津万达广场）100米,7400.0,,贝壳
吉诺玉璟湾,东部新城长风路656号,7900.0,,贝壳
石竹盛璟东方,滨江新城团结路39号（西江大道与团结南路交汇处）,7100.0,,贝壳
重庆云湖十里,鸡冠石路与六旗大道交汇处西北角,7500.0,,贝壳
中建雲山小镇,四面山四屏游客中心正对面,8200.0,,贝壳
佳兆业晓岸云起,科学城学城大道焕章体育公园对面,17000.0,,贝壳
旭辉星干线,重庆市渝北区宝桐路22号,8000.0,,贝壳
重庆吾悦广场,渝北区同茂大道重庆吾悦广场,13000.0,,贝壳
富力湾C7星寓,西一街与宝环二路交叉路口东侧,7200.0,,贝壳
荣华锦鹤江城,重庆市江津区松林路128号,4300.0,,贝壳
融创镜山月,重庆市江津区玄武大道161号,8300.0,,贝壳
恒雅华府,重庆江津双福新区津马路恒大三期旁,6100.0,,贝壳
御璟悦来,高义口地铁站旁,22000.0,,贝壳
悦溪正荣府,北碚两江新区竹溪河畔,13000.0,,贝壳
华岩陶瓷市场永林汇,华美路19号(原老陶市场）,8000.0,,贝壳
绿地重庆城际空间站,华玉北路,17500.0,,贝壳
重庆融创桃花源,沙坪坝区文广大道18号附9号,24000.0,,贝壳
华润置地重庆半山悦景,龙江路与龙江支路交叉路口东南侧,27000.0,,贝壳
兰亭学苑,璧山区璧泉街道祝嘉路5号,11000.0,,贝壳
建发和玺,两江蔡家自贸区,20000.0,,贝壳
观音桥1號,江北观音桥步行街（新世纪奥特莱斯旁）东环路9号2幢,25000.0,,贝壳
北碚吾悦广场,北碚老城区新星路（西南大学对面）,11000.0,,贝壳
天宸誉璟,重庆市沙坪坝区西尊路,18000.0,,贝壳
常青藤湖上初晴,渝北区宝圣湖街道果塘路,16500.0,,贝壳
荣安林语春风,华岩新城轻轨5号线跳蹬站,30000.0,,贝壳
金融街两江融府,竹溪路金融街两江融府,15000.0,,贝壳
雅居乐美好时光名著,高职城重庆财经学院旁,12700.0,,贝壳
恒大黛山华庭,黛山大道恒大黛山华庭,7900.0,,贝壳
花样年霍克尼的好时光,重庆市沙坪坝区,17000.0,,贝壳
佳兆业珑樾壹号,大学城南二路佳兆业珑樾壹号,20500.0,,贝壳
东原千山原,银杏大道东原千山原,9000.0,,贝壳
归原小镇,S203归原小镇,13000.0,,贝壳
融创观山臺,重庆市璧山区,8500.0,,贝壳
北辰香麓,重庆市渝北区秋成大道与悦港大道交叉路口往东南约150米,21200.0,,贝壳
旭辉星干线,重庆市渝北区宝桐路2号、双湖路406号,20000.0,,贝壳
禹洲博学家,大学城联东U谷旁,16000.0,,贝壳
佳源云上之城,逸才路佳源云上之城,15000.0,,贝壳
东原月印万川,重庆市渝北区两江新区悦港大道北侧,18000.0,,贝壳
金科天宸,金科天宸售楼部,12000.0,,贝壳
两江春城,重庆市渝北区福泉路,23000.0,,贝壳
绿地海外滩,江北区鸿恩寺公园大门处（往北滨路下行800米处）,14000.0,,贝壳
天盈首原,白鹤路45号（红绿灯下行200米）,17600.0,,贝壳
金融街融景中心,五里店灯饰广场往观音桥方向100米,16000.0,,贝壳
金科廊桥水乡四组团,"大学城南一路166号, 大学城学智路155号",12000.0,,贝壳
东邦小悦湾,李家沱马王坪正街（都和广场斜对面）,11500.0,,贝壳
北城空港天地,空港大道63号（空港广场对面，中国银行旁）,13000.0,,贝壳
北大资源海樾府,海尔路599号（海尔路中段昆仑好客上行400米左右）,12600.0,,贝壳
润丰水尚,双龙湖街道兰桂大道1号（619公交车站对面）,10000.0,,贝壳
铂悦澜庭,南滨路北段（大佛寺大桥南桥头下）,17500.0,,贝壳
龙湖九里晴川,照母山西金通大道轨道6号线九曲河站旁,17000.0,,贝壳
涪陵金科天宸,四环路太极厂区后南湖旁,7000.0,,贝壳
金科集美嘉悦,蔡家岗立交旁,24000.0,,贝壳
保亿丽景紫园,蔡家岗镇嘉运大道97号（嘉运大道和同康路交汇处西南方向）,28000.0,,贝壳
庆业九寨印象,渝鲁大道188号,20000.0,,贝壳
鎏嘉码头雲嵿公寓,北滨路鎏嘉码头A区云嵿公寓一楼（刘家台公交站背后）,28000.0,,贝壳
祥瑞城,圣泉街道江西大道130号,6200.0,,贝壳
金科博翠天悦,茅山路128号,20000.0,,贝壳
融创瀚学融府,龙骏大道899号,13000.0,,贝壳
中洲半岛城邦,钓鱼嘴滨江路,12300.0,,贝壳
城海松藻中心,万寿路（原松藻宾馆）,18000.0,,贝壳
阳光城新希望翡丽锦悦,巴南区石桂大道16号,10240.0,,贝壳
融汇半岛天澜,巴南巴滨路融汇半岛段,11000.0,,贝壳
万科翡翠都会,黄花园（巴蜀本部正对面）,28000.0,,贝壳
金茂国际生态新城,中央公园（公园西路与同茂大道交汇处）,21000.0,,贝壳
两江中迪广场,麦宜奥商圈加工区一路（宜家旁）,14300.0,,贝壳
招商雍江府,巴滨路马桑溪大桥旁,9800.0,,贝壳
龙湖春森彼岸五期,北滨一路258号,22000.0,,贝壳
大发熙悦書山境,龙洲湾街道崇仁路,9000.0,,贝壳
保利天汇,观音桥华新街,18000.0,,贝壳
南城山水,界祥路633号,7200.0,,贝壳
万科翡翠公园,中央公园西三门,20000.0,,贝壳
金隅南山郡观澜樾,南山向黄路隧道出口,15000.0,,贝壳
锦绣华城,顺江路锦绣华城,7800.0,,贝壳
融汇温泉城未来里,杨梨路,11000.0,,贝壳
金沙玖悦,沙坪坝工人村,19000.0,,贝壳
双福新鸥鹏拉菲公馆,福城大道1599号,7500.0,,贝壳
融堃港城小时代,港城西路融堃港城小时代,12700.0,,贝壳
鲁能城中央公馆,公园北路鲁能城中央公馆,30000.0,,贝壳
北大资源博雅,金州大道106号,22000.0,,贝壳
两岸首座,五江路22号,15000.0,,贝壳
宏燕华福郡,宏声大道31号,7400.0,,贝壳
金沙玖悦,三峡广场工人村,27000.0,,贝壳
保利金香槟,华岩新城华福大道金建路旁,20000.0,,贝壳
旭辉星奕,江北区盘溪六支路76号,17000.0,,贝壳
香港置地壹号半岛,金州商圈黄桷湖畔,25000.0,,贝壳
渝富滨江首岸,井双片区原特钢厂位置,16500.0,,贝壳
雨亭淞江水岸,南门路雨亭淞江水岸,4500.0,,贝壳
金科时代中心,湖山路139号,16000.0,,贝壳
中交漫山,梨花大道,12000.0,,贝壳
滨利汇金中心,南北大道滨利汇金中心,9200.0,,贝壳
碧桂园东原合能千屿,牡丹路碧桂园东原合能千屿,20000.0,,贝壳
金科金辉博翠山,蔡家大桥旁（同康路）,13000.0,,贝壳
博翠山麓,北碚区嘉瑞大道博翠山麓,16000.0,,贝壳
中南紫云集,福润路中南紫云集,5000.0,,贝壳
鸿笙苑宝贝的墅,天文大道水云路99号,13000.0,,贝壳
璞缇1号一期,桃源西四路5号,6500.0,,贝壳
龙湖光年,三峡广场步行街天陈路15号（重庆市沙坪坝区沙坪坝高铁站）,30000.0,,贝壳
奥园誉府,渝南分流道奥园誉府,15000.0,,贝壳
金辉金科天宸云著,西圣路（微电园站旁）,15000.0,,贝壳
金科滨江中心,圣泉街道德泽路4号至12号,8600.0,,贝壳
万科翡翠方舟,瑞天路158号,30000.0,,贝壳
俊豪城,重庆市璧山区璧泉街道东山路9号（新璧中体育馆斜对面）,11000.0,,贝壳
招商雍江岸,重庆市巴南区巴滨路马桑溪大桥旁,10500.0,,贝壳
龙湖公园时光,空港新城春华大道顺义路,21000.0,,贝壳
卓越蔚蓝城,重庆市渝北区建宁路6号,16000.0,,贝壳
玖御南滨,南岸两江交汇处,20000.0,,贝壳
恒大同景国际城,重庆市南岸区蔷薇路68号,6600.0,,贝壳
两江溪岸云蔚,两江新区·国博·清溪河站,12500.0,,贝壳
南滨特区,南滨路31号 可导航白云朵朵幼儿园。进入小区南门，临时售楼部在9栋1楼大厅,28000.0,,贝壳
复地公园和光,两江新区中央公园东路,21000.0,,贝壳
万科天空之城,江北嘉鸿大道儿童公园旁,25000.0,,贝壳
万科翡翠湖山,瑞天路150号,19500.0,,贝壳
欧街92,重庆市江北区兴隆路42号,24000.0,,贝壳
洺悦芳华,大学城U城天街树人小学旁,18000.0,,贝壳
华美翡丽山,宏帆路华美翡丽山,13500.0,,贝壳
弘阳昕悦棠,渝北区桂馥大道,20400.0,,贝壳
新城春山拾鸣,中央公园福畅路55号,20000.0,,贝壳
财信阅时代,重庆市江北嘴头塘轻轨站旁,24000.0,,贝壳
南滨特区,南滨路31号,30000.0,,贝壳
万科御澜道,凤澜路89号,23000.0,,贝壳
珠江城,巴滨路（阳春湿地公园旁）,12000.0,,贝壳
银翔城,银翔大道169号,7000.0,,贝壳
